contactid,title,description,overrideurl,affinity,clustergroup,ogname,ogtexthead,ogtitle1,ogtag1,ogurl1,ogtitle2,ogtag2,ogurl2,ogmoreinfo,ogmoreinfourltitle,ogmoreinfourltag,ogmoreinfourl,telephonename,phonetexthead,phoneopenhours,telephone,telephonename2,phonetexthead2,phoneopenhours2,telephone2,textphone,international,fax,phonemoreinfo,phonemoreinfourltitle,phonemoreinfourltag,phonemoreinfourl,emailtexthead,emailtitle1,emailtag1,emailaddress1,emailurl1,emailtitle2,emailtag2,emailaddress2,emailurl2,emailmoreinfo,emailmoreinfourltitle,emailmoreinfourltag,emailmoreinfourl,postname,posttexthead,posttag1,postaddress1,posttag2,postaddress2,posttag3,postaddress3,postmoreinfo,postmoreinfourltitle,postmoreinfourltag,postmoreinfourl,keywords,alt_meta_title,alt_meta_description,alt_meta_keywords,entrysource,externalid,lastupdated
14,"Employer enquiries
PAYE for employers (general enquiries)
Statutory payments enquiries","For employer enquiries on PAYE, NICs, Statutory payments, stakeholder pensions and student loan repayments",,employers > All employers,Tax,,,First report - checking your payroll records match with HMRC's,What employers must do to get their employee data matched with HMRC's records,http://www.hmrc.gov.uk/payerti/reporting/payroll-alignment.htm,Filing your Employer Annual Return (P35 and P14s) for 2012-13,Guidance on completing form P35 & starting to operate PAYE in real time for 2013-14.,http://hmrc.gov.uk/payerti/end-of-year/from-bau-to-rti.htm,,Preparing to operate PAYE in real time,All you need to get started with PAYE real time ? registering as an employer and starting to run a payroll.,http://www.hmrc.gov.uk/payerti/getting-started/index.htm,Employer Helpline,"Expert advice for employers on: 
-  PAYE in real time including Statutory Sick Pay, Adoption, Maternity, Paternity and Additional  Paternity Pay
-  stakeholder pensions, student loan repayments and the Construction Industry Scheme
You need your employer reference number when you call. By choosing the correct numbered option you will speak to the appropriate advisor more quickly.","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday

Closed Sundays, Christmas Day, Boxing Day and New Year's Day",0300 200 3200,,,,,0300 200 3212,,0191 225 6677,"Employees seeking advice on their own tax affairs should contact their HMRC office (as shown on our most recent correspondence to them). If they don't have recent correspondence from us, follow the link below for HMRC contact details for individuals, pensioners and employees.","Income Tax enquiries for individuals, pensioners and employees",,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;cs=ISO-8859-1&amp;tx0=49612,,,,,,,,,,,,,,,,,,,,,,"Employers can write to HMRC at the following address:

Customer Operations Employer Office
BP4009
Chillingham House
Benton Park View
Newcastle Upon Tyne
NE98 1ZZ

Please send forms P11D Expenses Payments and Benefits 2012-2013 to the following address: 

HMRC NIC&EO
Room BP2101
Lindisfarne House
Benton Park View
Longbenton
Newcastle Upon Tyne
NE98 1ZZ",,,,,,,,enquiry,yg7jCcYewik,31/05/2013 14:58:24
15,Deceased Estate Helpline,For specialist advice about Income Tax and Capital Gains Tax on a deceased person's estate,,"individuals & employees > Bereavement
individuals & employees > All individuals",Tax,,,,,,,,,,,,,Deceased Estate Helpline,General advice and information about Income Tax and Capital Gains Tax on deceased estates.,"9.00 am to 5.00 pm, Monday to Friday
Closed bank holidays (including Scottish bank holidays)",0845 604 6455,,,,,,,,"This helpline is part of HMRC Trusts and Estates. When you call this number, please choose option 4 to speak to an adviser about deceased estate queries. 

For specific enquiries concerning your tax affairs, or those of the deceased, you should contact the relevant HMRC Office. Follow the relevant helpline from the main 'Contact Us' index page. 

If you have a question about Inheritance Tax or probate call the helpline",Probate and Inheritance Tax Helpline,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=49659&amp;fl0=__dsid:&amp;tx1=2037&amp;raction=view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,cmXEoE54mW0,31/05/2013 14:58:24
16,Enquiries from employers with expatriate employees,Advice for employers (usually multi-national organisations) who employ non-UK expatriates,,employers > All employers,Tax,,,Find contact details of our Expatriate Teams,"Contact details for the Expatriate Team, what we do and who the team will deal with",http://www.hmrc.gov.uk/menus/expat_teams.htm,,,,,,,,,,"8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",03000 533 148,,,,,,,0161 261 3198,Contact details for the Expatriate Team who handle the tax affairs of non-UK expatriate employees - normally people working for multi-national organisations who are seconded or assigned to the UK.,,,,,,,,,,,,,,,,,,,,"HMRC Personal Tax International
Operations, SO733
PO Box 203
Bootle
L69 9AP",,,,,,,,,,,,,enquiry,kfOfd8vpeYA,04/07/2013 09:12:07
17,"Non-UK resident entertainers
Foreign Entertainers Unit",For non-UK resident entertainers or sportspeople who perform in the UK,,individuals & employees > All individuals,Tax,,,Information for non-UK resident entertainers and sportspeople,Information for non-UK resident entertainers and sportspeople,http://www.hmrc.gov.uk/feu/index.htm,,,,,,,,Foreign Entertainers Unit,For non-UK resident entertainers or sportspeople who perform in the UK and anyone who makes payments to them,"8.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0300 054 7395,,,,,,+44 0300 054 7395,+44 151 472 6483,,,,,,,,,,,,,,,,,,,,You can write to HMRC using the postal address below.,"Foreign Entertainers Unit written enquiries
St John's House
Merton Road
Liverpool
L75 1BB",,,,,,,,,,,,,enquiry,Oqrg4PZVdc8,31/05/2013 14:58:25
19,Individual Savings Accounts (ISA) enquiries,Information about tax rules on ISAs,,"individuals & employees > Self-employed
individuals & employees > All individuals",Tax,,,,,,,,,,Find out more about Junior Individual Savings Accounts on GOV.UK website,,https://www.gov.uk/junior-individual-savings-accounts,ISA Helpline,"For general enquiries about tax rules on ISAs and more information on Junior ISAs

Individual Savings Account Helpline is part of the Savings Helpline","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday",0845 604 1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,agUO91tWzfU,31/05/2013 14:58:25
20,International assistance for overseas tax administrations,Responsible for co-ordinating technical assistance programmes for overseas tax administrations,,,See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you are interested in using the expertise of officers in HM Revenue and Customs to work on international projects overseas, please contact International Relations and Capacity Building team who coordinate and consider such requests. For further information please contact:",Danny PedleyInternational Relations & Capacity Building,,Daniel.pedley@hmrc.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone.

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. Forward it to us at:
phishing@hmrc.gsi.gov.uk",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,International Relations and Capacity Building,,,"1st Floor (Hatfields)
Dorset House
27-45 Stamford Street
London
SE1 9PY",,,,,,,,,,,,,enquiry,byyk3qVbt6k,31/05/2013 14:58:23
21,"Customs, International Trade & Excise enquiries
Imports
Excise duties
Exports
International trade - imports and exports","For enquiries relating to importing, exporting and Customs Relief",,"individuals & employees > All individuals
businesses & corporations > All businesses","VAT, Customs, Excise duties",,,,,,,,,,Check import and export information on the GOV.UK website,"You'll find simplified import and export information and interactive tools, including the UK Trade Tariff on the GOV.UK website.",http://www.businesslink.gov.uk/bdotg/action/layer?r.s=tl&topicId=1079717544,Excise and Customs Helpline,For Excise Duties and customs telephone enquiries,"8.00 am to 6.00 pm, Monday to Friday 
Closed weekends and bank holidays",0300 200 3700,,,,,0300 200 3719,,,,,,,,Online enquiry form for customs,,,http://www.hmrc.gov.uk/contactus/customs.htm,Online enquiry form for excise,,,http://www.hmrc.gov.uk/contactus/excise.htm,"You can email HMRC if your have a customs related enquiry:
- Importing and exporting from outside the EU
- Customs Relief 
- Movement of goods within the EU 
- Travelling to the UK including duty free allowances  
- any other customs matter 

You can also email HMRC if you have an excise related enquiry:
- The production and movement of alcohol and tobacco products
- Hydrocarbon oils
- Betting and gambling duties 
- Environmental taxes 
- any other excise matter

Please include your VAT registration number if applicable and the name and address of your business. 

We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,"For postal enquiries relating to importing, exporting, Customs Relief and excise matters","CITEX Written Enquiry Team 
HM Revenue & Customs 
Crownhill Court
Tailyour Road
Plymouth
PL6 5BZ",,,,,Please include your VAT registration number if applicable and the name and postal address of your business.,,,,,,,,enquiry,iQ9MFQAxnZk,24/06/2013 09:29:16
22,IR35 enquiries,For general enquiries about the IR35 intermediaries legislation,,"individuals & employees > Self-employed
individuals & employees > All individuals
employers > All employers",See also,,,,,,,,,,,,,IR35 Helpline,For customers who have enquiries about the intermediaries (IR35) legislation,"8.30 am to 4.30 pm, Monday to Friday
Closed weekends and bank holidays",0845 303 3535,,,,,,,0845 302 3535,,,,,Email us if you have enquiries about the intermediaries (IR35) legislation,For general ir35 enquiries,,ir35@hmrc.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,IR35 written enquiries,,,"IR35 Customer Service Unit 
Ground Floor North 
Princess House 
Cliftonville Road 
Northampton
NN1 5AE",,,,,,,,,Post address added 20/11/09 & open times changed.,,,,enquiry,SAyAkSQzFSo,31/05/2013 14:58:25
23,Money laundering,Report suspicious transactions,,businesses & corporations > All businesses,See also,,,Report a suspicious transaction or activity,How to report a transaction you suspect of money laundering or a business you think should be registered under Money Laundering Regulations,http://www.hmrc.gov.uk/mlr/reportsuspicion.htm,Register with HMRC for Money Laundering Regulations,"Do you have to register with HMRC, how to register, including the 'fit and proper test' and what happens if you don't",http://www.hmrc.gov.uk/mlr/getstarted/register,,,,,VAT and Excise Helpline,If you can't find the answer to your question about money laundering on HMRC website you can call the VAT and Excise Helpline.,"8.00 am to 6.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3700,,,,,0300 200 3719,,,,,,,,For email enquiries about Money Laundering Regulations @,,MLRCIT@hmrc.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,p9pDx-33SE0,24/06/2013 10:27:04
24,National Insurance deficiency enquiries,Information about gaps in your National Insurance record and paying voluntary National Insurance contributions,,"individuals & employees > Self-employed
individuals & employees > All individuals
individuals & employees > Employed",National Insurance,,,'Gap in your National Insurance' letter,"Find out what to do if you get a 'Gap in your National Insurance letter' and what to do about it, including what to do if there is a mistake",http://www.hmrc.gov.uk/ni/volcontr/gapletter.htm,Voluntary Class 3 National Insurance,Find out about ways you can pay your voluntary Class 3 National Insurance,http://www.hmrc.gov.uk/payinghmrc/class3nics.htm,,,,,National Insurance - Deficiency Notice Helpline,"If you have been notified that you may have a shortfall in your National Insurance contributions we can discuss with you how the shortfall has been calculated, and how to query the amount of the shortfall. We also provide information about the Home Responsibilities Protection Scheme (HRP) or from 6 April 2010, the new Parents and Carers credits. 

The helpline cannot give customers an estimate of their State Pension. State Pension statements ? find out more about getting an estimate by following the State Pension statement link below.","8.30 am to 5.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday
Closed Sundays and bank holidays",0300 200 3503,,,,,0845 915 3296,,,,State Pension statement,,https://www.gov.uk/state-pension-statement,Use the HM Revenue & Customs (HMRC) email service,Tell HMRC about a change of name or address,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,yNi35JhBri0,13/06/2013 08:02:15
